                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.84798,                0.58811,                 1.4601,                0.98898,                      1,                  0.995,                0.64499,                 1.0961,                0.46345,                 1.8266,             0.00027057,             0.00027057,             0.00027057
                    112,                0.84386,                0.57127,                 1.4561,                 0.9954,                      1,                  0.995,                0.69791,                0.99326,                0.42867,                 1.7364,             0.00025787,             0.00025787,             0.00025787
                    113,                0.83632,                0.56189,                 1.4514,                 0.9918,                      1,                  0.995,                0.69581,                 1.0291,                0.42096,                 1.7632,             0.00024518,             0.00024518,             0.00024518
                    114,                 0.8397,                0.55973,                  1.452,                0.99393,                      1,                  0.995,                0.71847,                0.98599,                0.41404,                 1.7042,             0.00023248,             0.00023248,             0.00023248
                    115,                0.84464,                0.56118,                 1.4581,                0.97618,                      1,                  0.995,                0.71854,                0.96627,                0.43411,                 1.6871,             0.00021979,             0.00021979,             0.00021979
                    116,                0.83412,                0.57012,                 1.4537,                0.98155,                0.98003,                  0.995,                0.72164,                0.96585,                  0.441,                 1.7116,             0.00020709,             0.00020709,             0.00020709
                    117,                0.81308,                0.55643,                 1.4285,                0.99338,                      1,                  0.995,                0.71531,                0.96007,                0.42966,                 1.6903,              0.0001944,              0.0001944,              0.0001944
                    118,                0.82537,                0.55746,                 1.4716,                0.99368,                      1,                  0.995,                0.70398,                0.98577,                0.42559,                 1.7158,              0.0001817,              0.0001817,              0.0001817
                    119,                0.82791,                0.57695,                 1.4418,                0.99505,                      1,                  0.995,                 0.6924,                 1.0081,                0.41272,                 1.7537,             0.00016901,             0.00016901,             0.00016901
                    120,                0.80789,                0.55249,                 1.4476,                0.99551,                      1,                  0.995,                0.68889,                 1.0172,                0.41016,                 1.7599,             0.00015631,             0.00015631,             0.00015631
                    121,                0.71663,                0.51544,                 1.3822,                0.99155,                      1,                  0.995,                0.71079,                0.98898,                0.41002,                 1.7396,             0.00014362,             0.00014362,             0.00014362
                    122,                0.70991,                0.45299,                 1.3799,                0.98738,                0.99879,                  0.995,                0.72664,                0.98977,                0.43229,                 1.7468,             0.00013092,             0.00013092,             0.00013092
                    123,                0.71797,                0.46695,                  1.412,                0.98967,                0.99827,                  0.995,                0.71547,                 1.0074,                0.42234,                 1.7753,             0.00011823,             0.00011823,             0.00011823
                    124,                0.75099,                0.43936,                 1.4407,                0.99322,                0.99892,                  0.995,                 0.7188,                  1.009,                0.41049,                 1.7514,             0.00010553,             0.00010553,             0.00010553
                    125,                0.68728,                 0.4316,                 1.3767,                0.99411,                0.99907,                  0.995,                0.71903,                 1.0073,                0.39937,                 1.7455,             9.2839e-05,             9.2839e-05,             9.2839e-05
                    126,                0.66777,                0.42912,                 1.3561,                0.99356,                      1,                  0.995,                0.70152,                 1.0112,                0.40041,                 1.7537,             8.0144e-05,             8.0144e-05,             8.0144e-05
                    127,                0.68365,                0.41636,                 1.3683,                0.99276,                      1,                  0.995,                0.70224,                0.99721,                0.39513,                 1.7317,             6.7449e-05,             6.7449e-05,             6.7449e-05
                    128,                0.68235,                0.42335,                 1.3549,                0.99182,                 0.9983,                  0.995,                0.70281,                0.99273,                0.40462,                 1.7175,             5.4755e-05,             5.4755e-05,             5.4755e-05
                    129,                0.66046,                0.39002,                 1.3375,                0.99235,                0.99953,                  0.995,                0.69565,                0.99628,                0.41787,                 1.7222,              4.206e-05,              4.206e-05,              4.206e-05
                    130,                0.69184,                0.44963,                 1.3636,                0.99254,                0.99919,                  0.995,                0.70054,                 1.0004,                0.42007,                 1.7257,             2.9365e-05,             2.9365e-05,             2.9365e-05
